index,qTypeRaw,qType,story,question,char1,char2,perceivers,story_with_perceivers,persp_ctx,cands,answer
1596,first_order_1_tom,first_order_tom,"['Ella likes the suit', 'Ella entered the cellar', 'Lucas entered the cellar', 'Benjamin entered the porch', 'The boots is in the cupboard', 'The cupboard is in the cellar', 'Lucas exited the cellar', 'Benjamin exited the porch', 'Ella likes the sweatshirt', 'Lucas entered the porch', 'Ella moved the boots to the pantry', 'The pantry is in the cellar']",Where will Lucas look for the boots?,Lucas,,"[['Ella'], ['Ella'], ['Lucas', 'Ella'], ['Benjamin'], ['Ella', 'Lucas'], ['Ella', 'Lucas'], ['Lucas', 'Ella'], ['Benjamin'], ['Ella'], ['Lucas'], ['Ella'], ['Ella']]","[{'Ella likes the suit': ['Ella']}, {'Ella entered the cellar': ['Ella']}, {'Lucas entered the cellar': ['Lucas', 'Ella']}, {'Benjamin entered the porch': ['Benjamin']}, {'The boots is in the cupboard': ['Ella', 'Lucas']}, {'The cupboard is in the cellar': ['Ella', 'Lucas']}, {'Lucas exited the cellar': ['Lucas', 'Ella']}, {'Benjamin exited the porch': ['Benjamin']}, {'Ella likes the sweatshirt': ['Ella']}, {'Lucas entered the porch': ['Lucas']}, {'Ella moved the boots to the pantry': ['Ella']}, {'The pantry is in the cellar': ['Ella']}]",Lucas entered the cellar. The boots is in the cupboard. The cupboard is in the cellar. Lucas exited the cellar. Lucas entered the porch,"['pantry', 'cellar', 'suit', 'cupboard', 'porch', 'sweatshirt']",cupboard
1717,first_order_0_tom,first_order_tom,"['Chloe loves the t-shirt', 'William entered the pantry', 'Chloe entered the pantry', 'William loves the strawberry', 'The slacks is in the treasure chest', 'The treasure chest is in the pantry', 'William exited the pantry', 'Chloe moved the slacks to the drawer', 'The drawer is in the pantry']",Where will William look for the slacks?,William,,"[['Chloe'], ['William'], ['Chloe', 'William'], ['William'], ['William', 'Chloe'], ['William', 'Chloe'], ['William', 'Chloe'], ['Chloe'], ['Chloe']]","[{'Chloe loves the t-shirt': ['Chloe']}, {'William entered the pantry': ['William']}, {'Chloe entered the pantry': ['Chloe', 'William']}, {'William loves the strawberry': ['William']}, {'The slacks is in the treasure chest': ['William', 'Chloe']}, {'The treasure chest is in the pantry': ['William', 'Chloe']}, {'William exited the pantry': ['William', 'Chloe']}, {'Chloe moved the slacks to the drawer': ['Chloe']}, {'The drawer is in the pantry': ['Chloe']}]",William entered the pantry. Chloe entered the pantry. William loves the strawberry. The slacks is in the treasure chest. The treasure chest is in the pantry. William exited the pantry,"['pantry', 'treasure chest', 't-shirt', 'drawer', 'strawberry']",treasure chest
709,second_order_0_tom,second_order_tom,"['Ethan entered the garage', 'Jacob entered the garage', 'The underpants is in the crate', 'The crate is in the garage', 'Ethan exited the garage', 'Jack likes the onion', 'Jacob moved the underpants to the envelope', 'The envelope is in the garage', 'Ethan entered the den']",Where does Ethan think that Jacob searches for the underpants?,Ethan,Jacob,"[['Ethan'], ['Jacob', 'Ethan'], ['Ethan', 'Jacob'], ['Ethan', 'Jacob'], ['Ethan', 'Jacob'], ['Jack'], ['Jacob'], ['Jacob'], ['Ethan']]","[{'Ethan entered the garage': ['Ethan']}, {'Jacob entered the garage': ['Jacob', 'Ethan']}, {'The underpants is in the crate': ['Ethan', 'Jacob']}, {'The crate is in the garage': ['Ethan', 'Jacob']}, {'Ethan exited the garage': ['Ethan', 'Jacob']}, {'Jack likes the onion': ['Jack']}, {'Jacob moved the underpants to the envelope': ['Jacob']}, {'The envelope is in the garage': ['Jacob']}, {'Ethan entered the den': ['Ethan']}]",Jacob entered the garage. The underpants is in the crate. The crate is in the garage. Ethan exited the garage,"['crate', 'envelope', 'onion', 'garage', 'den']",crate
465,first_order_0_no_tom,first_order_no_tom,"['Isla entered the garden', 'Liam entered the garden', 'The gloves is in the crate', 'The crate is in the garden', 'Isla moved the gloves to the bottle', 'The bottle is in the garden', 'Emily entered the basement', 'Liam exited the garden', 'Isla exited the garden', 'Emily exited the basement', 'Liam entered the basement']",Where will Isla look for the gloves?,Isla,,"[['Isla'], ['Liam', 'Isla'], ['Isla', 'Liam'], ['Isla', 'Liam'], ['Isla', 'Liam'], ['Isla', 'Liam'], ['Emily'], ['Liam', 'Isla'], ['Isla'], ['Emily'], ['Liam']]","[{'Isla entered the garden': ['Isla']}, {'Liam entered the garden': ['Liam', 'Isla']}, {'The gloves is in the crate': ['Isla', 'Liam']}, {'The crate is in the garden': ['Isla', 'Liam']}, {'Isla moved the gloves to the bottle': ['Isla', 'Liam']}, {'The bottle is in the garden': ['Isla', 'Liam']}, {'Emily entered the basement': ['Emily']}, {'Liam exited the garden': ['Liam', 'Isla']}, {'Isla exited the garden': ['Isla']}, {'Emily exited the basement': ['Emily']}, {'Liam entered the basement': ['Liam']}]",Isla entered the garden. Liam entered the garden. The gloves is in the crate. The crate is in the garden. Isla moved the gloves to the bottle. The bottle is in the garden. Liam exited the garden. Isla exited the garden,"['basement', 'garden', 'bottle', 'crate']",bottle
160,second_order_1_no_tom,second_order_no_tom,"['Ava entered the hallway', 'Aria entered the hallway', 'The raincoat is in the container', 'The container is in the hallway', 'Aria moved the raincoat to the treasure chest', 'The treasure chest is in the hallway', 'Ava exited the hallway', 'Aria exited the hallway', 'Ava entered the hallway']",Where does Aria think that Ava searches for the raincoat?,Aria,Ava,"[['Ava'], ['Aria', 'Ava'], ['Ava', 'Aria'], ['Ava', 'Aria'], ['Aria', 'Ava'], ['Ava', 'Aria'], ['Ava', 'Aria'], ['Aria'], ['Ava']]","[{'Ava entered the hallway': ['Ava']}, {'Aria entered the hallway': ['Aria', 'Ava']}, {'The raincoat is in the container': ['Ava', 'Aria']}, {'The container is in the hallway': ['Ava', 'Aria']}, {'Aria moved the raincoat to the treasure chest': ['Aria', 'Ava']}, {'The treasure chest is in the hallway': ['Ava', 'Aria']}, {'Ava exited the hallway': ['Ava', 'Aria']}, {'Aria exited the hallway': ['Aria']}, {'Ava entered the hallway': ['Ava']}]",Aria entered the hallway. The raincoat is in the container. The container is in the hallway. Aria moved the raincoat to the treasure chest. The treasure chest is in the hallway. Ava exited the hallway,"['treasure chest', 'container', 'hallway']",treasure chest
1149,second_order_0_tom,second_order_tom,"['Carter entered the hall', 'Carter loves the pumpkin', 'Isla entered the hall', 'The spinach is in the bathtub', 'The bathtub is in the hall', 'Isla exited the hall', 'Isla entered the bedroom', 'Carter moved the spinach to the drawer', 'The drawer is in the hall', 'Chloe entered the bedroom', 'Chloe likes the onion']",Where does Carter think that Isla searches for the spinach?,Carter,Isla,"[['Carter'], ['Carter'], ['Isla', 'Carter'], ['Carter', 'Isla'], ['Carter', 'Isla'], ['Isla', 'Carter'], ['Isla'], ['Carter'], ['Carter'], ['Chloe', 'Isla'], ['Chloe']]","[{'Carter entered the hall': ['Carter']}, {'Carter loves the pumpkin': ['Carter']}, {'Isla entered the hall': ['Isla', 'Carter']}, {'The spinach is in the bathtub': ['Carter', 'Isla']}, {'The bathtub is in the hall': ['Carter', 'Isla']}, {'Isla exited the hall': ['Isla', 'Carter']}, {'Isla entered the bedroom': ['Isla']}, {'Carter moved the spinach to the drawer': ['Carter']}, {'The drawer is in the hall': ['Carter']}, {'Chloe entered the bedroom': ['Chloe', 'Isla']}, {'Chloe likes the onion': ['Chloe']}]",Isla entered the hall. The spinach is in the bathtub. The bathtub is in the hall. Isla exited the hall,"['pumpkin', 'bedroom', 'hall', 'bathtub', 'onion', 'drawer']",bathtub
970,first_order_1_tom,first_order_tom,"['Mia entered the patio', 'Owen entered the patio', 'The jacket is in the bathtub', 'The bathtub is in the patio', 'Owen exited the patio', 'Mia moved the jacket to the crate', 'The crate is in the patio', 'Ava entered the patio']",Where will Owen look for the jacket?,Owen,,"[['Mia'], ['Owen', 'Mia'], ['Mia', 'Owen'], ['Mia', 'Owen'], ['Owen', 'Mia'], ['Mia'], ['Mia'], ['Mia', 'Ava']]","[{'Mia entered the patio': ['Mia']}, {'Owen entered the patio': ['Owen', 'Mia']}, {'The jacket is in the bathtub': ['Mia', 'Owen']}, {'The bathtub is in the patio': ['Mia', 'Owen']}, {'Owen exited the patio': ['Owen', 'Mia']}, {'Mia moved the jacket to the crate': ['Mia']}, {'The crate is in the patio': ['Mia']}, {'Ava entered the patio': ['Mia', 'Ava']}]",Owen entered the patio. The jacket is in the bathtub. The bathtub is in the patio. Owen exited the patio,"['bathtub', 'patio', 'crate']",bathtub
1607,first_order_1_tom,first_order_tom,"['Owen entered the back yard', 'Mason entered the garden', 'Abigail entered the back yard', 'Mason exited the garden', 'The beans is in the envelope', 'The envelope is in the back yard', 'Abigail exited the back yard', 'Owen moved the beans to the suitcase', 'The suitcase is in the back yard', 'Owen exited the back yard', 'Abigail entered the garden']",Where will Abigail look for the beans?,Abigail,,"[['Owen'], ['Mason'], ['Abigail', 'Owen'], ['Mason'], ['Owen', 'Abigail'], ['Owen', 'Abigail'], ['Abigail', 'Owen'], ['Owen'], ['Owen'], ['Owen'], ['Abigail']]","[{'Owen entered the back yard': ['Owen']}, {'Mason entered the garden': ['Mason']}, {'Abigail entered the back yard': ['Abigail', 'Owen']}, {'Mason exited the garden': ['Mason']}, {'The beans is in the envelope': ['Owen', 'Abigail']}, {'The envelope is in the back yard': ['Owen', 'Abigail']}, {'Abigail exited the back yard': ['Abigail', 'Owen']}, {'Owen moved the beans to the suitcase': ['Owen']}, {'The suitcase is in the back yard': ['Owen']}, {'Owen exited the back yard': ['Owen']}, {'Abigail entered the garden': ['Abigail']}]",Abigail entered the back yard. The beans is in the envelope. The envelope is in the back yard. Abigail exited the back yard. Abigail entered the garden,"['suitcase', 'garden', 'envelope', 'back yard']",envelope
787,second_order_1_no_tom,second_order_no_tom,"['Isabella entered the pantry', 'Isla entered the pantry', 'Ella entered the pantry', 'The asparagus is in the pantry', 'The pantry is in the pantry', 'Isla moved the asparagus to the drawer', 'The drawer is in the pantry', 'Ella exited the pantry', 'Isla exited the pantry', 'Isabella exited the pantry', 'Ella entered the pantry']",Where does Ella think that Isla searches for the asparagus?,Ella,Isla,"[['Isabella'], ['Isla', 'Isabella'], ['Ella', 'Isabella', 'Isla'], ['Isabella', 'Isla', 'Ella'], ['Isabella', 'Isla', 'Ella'], ['Isla', 'Isabella', 'Ella'], ['Isabella', 'Isla', 'Ella'], ['Ella', 'Isabella', 'Isla'], ['Isla', 'Isabella'], ['Isabella'], ['Ella']]","[{'Isabella entered the pantry': ['Isabella']}, {'Isla entered the pantry': ['Isla', 'Isabella']}, {'Ella entered the pantry': ['Ella', 'Isabella', 'Isla']}, {'The asparagus is in the pantry': ['Isabella', 'Isla', 'Ella']}, {'The pantry is in the pantry': ['Isabella', 'Isla', 'Ella']}, {'Isla moved the asparagus to the drawer': ['Isla', 'Isabella', 'Ella']}, {'The drawer is in the pantry': ['Isabella', 'Isla', 'Ella']}, {'Ella exited the pantry': ['Ella', 'Isabella', 'Isla']}, {'Isla exited the pantry': ['Isla', 'Isabella']}, {'Isabella exited the pantry': ['Isabella']}, {'Ella entered the pantry': ['Ella']}]",Ella entered the pantry. The asparagus is in the pantry. The pantry is in the pantry. Isla moved the asparagus to the drawer. The drawer is in the pantry. Ella exited the pantry,"['pantry', 'drawer']",drawer
535,first_order_1_no_tom,first_order_no_tom,"['Liam entered the workshop', 'Avery entered the workshop', 'Lily entered the workshop', 'Lily exited the workshop', 'The beans is in the bottle', 'The bottle is in the workshop', 'Avery moved the beans to the pantry', 'The pantry is in the workshop', 'Liam exited the workshop', 'Liam entered the dining room']",Where will Avery look for the beans?,Avery,,"[['Liam'], ['Avery', 'Liam'], ['Lily', 'Liam', 'Avery'], ['Lily', 'Liam', 'Avery'], ['Liam', 'Avery'], ['Liam', 'Avery'], ['Avery', 'Liam'], ['Liam', 'Avery'], ['Liam', 'Avery'], ['Liam']]","[{'Liam entered the workshop': ['Liam']}, {'Avery entered the workshop': ['Avery', 'Liam']}, {'Lily entered the workshop': ['Lily', 'Liam', 'Avery']}, {'Lily exited the workshop': ['Lily', 'Liam', 'Avery']}, {'The beans is in the bottle': ['Liam', 'Avery']}, {'The bottle is in the workshop': ['Liam', 'Avery']}, {'Avery moved the beans to the pantry': ['Avery', 'Liam']}, {'The pantry is in the workshop': ['Liam', 'Avery']}, {'Liam exited the workshop': ['Liam', 'Avery']}, {'Liam entered the dining room': ['Liam']}]",Avery entered the workshop. Lily entered the workshop. Lily exited the workshop. The beans is in the bottle. The bottle is in the workshop. Avery moved the beans to the pantry. The pantry is in the workshop. Liam exited the workshop,"['pantry', 'bottle', 'workshop', 'dining room']",pantry
