,index,question,question_type,set_id
0,0,"Who discussed their experiences training their pets, Bruno and Snowflake?",fact,0-0-0
1,1,"What does Gianna believe about who discussed their experiences training their pets, Bruno and Snowflake?",tom:belief:inaccessible,0-0-0
2,2,"What does Gianna believe about who discussed their experiences training their pets, Bruno and Snowflake?
(a) Gianna knows that Javier discussed training his pet, Bruno. However, Gianna will not know training a pet named Snowflake.
(b) Gianna believes that Sara and Javier discussed their experiences training their pets, Bruno and Snowflake.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,0-0-0
3,3,"What does Sara believe about Javier's belief regarding who discussed their experiences training their pets, Bruno and Snowflake?",tom:belief:accessible,0-0-0
4,4,"What does Sara believe about Javier's belief regarding who discussed their experiences training their pets, Bruno and Snowflake?
(a) Sara believes that Javier thinks they both discussed their experiences training their pets, Bruno and Snowflake.
(b) Sara is unaware about Javier's belief regarding who discussed their experiences training their pets, Bruno and Snowflake.

Choose an answer from above:",tom:belief:accessible:multiple-choice,0-0-0
5,5,List all the characters who know the precise correct answer to this question.,tom:answerability:list,0-0-0
6,6,Does Gianna know the precise correct answer to this question?,tom:answerability:binary,0-0-0
7,7,Does Alondra know the precise correct answer to this question?,tom:answerability:binary,0-0-0
8,8,Does Sara know the precise correct answer to this question?,tom:answerability:binary,0-0-0
9,9,Does Javier know the precise correct answer to this question?,tom:answerability:binary,0-0-0
10,10,Does Angela know the precise correct answer to this question?,tom:answerability:binary,0-0-0
11,11,List all the characters who know this information.,tom:info_accessibility:list,0-0-0
12,12,Does Gianna know this information?,tom:info_accessibility:binary,0-0-0
13,13,Does Alondra know this information?,tom:info_accessibility:binary,0-0-0
14,14,Does Sara know this information?,tom:info_accessibility:binary,0-0-0
15,15,Does Javier know this information?,tom:info_accessibility:binary,0-0-0
16,16,Does Angela know this information?,tom:info_accessibility:binary,0-0-0
17,17,Whose pets were being discussed by Javier and Sara?,fact,0-0-1
18,18,What does Gianna believe about whose pets Javier and Sara were discussing?,tom:belief:inaccessible,0-0-1
19,19,"What does Gianna believe about whose pets Javier and Sara were discussing?
(a) Gianna believes that Javier and Sara were discussing their own pets, Bruno and Snowflake.
(b) Gianna believes that Javier and Sara were discussing Bruno and Chirpy's pets.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,0-0-1
20,20,List all the characters who know the precise correct answer to this question.,tom:answerability:list,0-0-1
21,21,Does Gianna know the precise correct answer to this question?,tom:answerability:binary,0-0-1
22,22,Does Alondra know the precise correct answer to this question?,tom:answerability:binary,0-0-1
23,23,Does Sara know the precise correct answer to this question?,tom:answerability:binary,0-0-1
24,24,Does Javier know the precise correct answer to this question?,tom:answerability:binary,0-0-1
25,25,Does Angela know the precise correct answer to this question?,tom:answerability:binary,0-0-1
26,26,List all the characters who know this information.,tom:info_accessibility:list,0-0-1
27,27,Does Gianna know this information?,tom:info_accessibility:binary,0-0-1
28,28,Does Alondra know this information?,tom:info_accessibility:binary,0-0-1
29,29,Does Sara know this information?,tom:info_accessibility:binary,0-0-1
30,30,Does Javier know this information?,tom:info_accessibility:binary,0-0-1
31,31,Does Angela know this information?,tom:info_accessibility:binary,0-0-1
32,32,How does Fatima overcome the challenge of dealing with different personalities at work?,fact,1-0-0
33,33,What does Veronica believe about how Fatima overcomes the challenge of dealing with different personalities at work?,tom:belief:inaccessible,1-0-0
34,34,"What does Veronica believe about how Fatima overcomes the challenge of dealing with different personalities at work?
(a) Veronica believes that Fatima overcomes the challenge of dealing with different personalities at work by observing, learning, and adopting certain assertive communication strategies.
(b) Veronica does not know or is unaware about how Fatima overcomes the challenge of dealing with different personalities at work because she was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,1-0-0
35,35,What does Jaiden believe about Veronica's belief regarding how Fatima overcomes the challenge of dealing with different personalities at work?,tom:belief:inaccessible,1-0-0
36,36,"What does Jaiden believe about Veronica's belief regarding how Fatima overcomes the challenge of dealing with different personalities at work?
(a) Jaiden believes that Veronica thinks Fatima overcomes the challenge of dealing with different personalities at work by observing, learning, and adopting certain assertive communication strategies.
(b) Jaiden believes that Veronica does not know how Fatima overcomes the challenge of dealing with different personalities at work because Veronica was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,1-0-0
37,37,What does Fatima believe about Veronica's belief regarding how Fatima overcomes the challenge of dealing with different personalities at work?,tom:belief:inaccessible,1-0-0
38,38,"What does Fatima believe about Veronica's belief regarding how Fatima overcomes the challenge of dealing with different personalities at work?
(a) Fatima believes that Veronica thinks she overcomes the challenge of dealing with different personalities at work by observing, learning, and adopting certain assertive communication strategies.
(b) Fatima believes that Veronica is unaware of how Fatima overcomes the challenge of dealing with different personalities at work because Veronica was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,1-0-0
39,39,List all the characters who know the precise correct answer to this question.,tom:answerability:list,1-0-0
40,40,Does Greyson know the precise correct answer to this question?,tom:answerability:binary,1-0-0
41,41,Does Veronica know the precise correct answer to this question?,tom:answerability:binary,1-0-0
42,42,Does Jaiden know the precise correct answer to this question?,tom:answerability:binary,1-0-0
43,43,Does Fatima know the precise correct answer to this question?,tom:answerability:binary,1-0-0
44,44,Does Christian know the precise correct answer to this question?,tom:answerability:binary,1-0-0
45,45,List all the characters who know this information.,tom:info_accessibility:list,1-0-0
46,46,Does Greyson know this information?,tom:info_accessibility:binary,1-0-0
47,47,Does Veronica know this information?,tom:info_accessibility:binary,1-0-0
48,48,Does Jaiden know this information?,tom:info_accessibility:binary,1-0-0
49,49,Does Fatima know this information?,tom:info_accessibility:binary,1-0-0
