,Unnamed: 0,part_id,utterance,utterance_symbol_removed,perceivers
0,0,3-0,"Richard: I'm sorry, I have to cut the conversation short. My delivery is arriving and I need to receive it. We'll continue this chat soon though.",Richard: Im sorry I have to cut the conversation short My delivery is arriving and I need to receive it Well continue this chat soon though,"['Richard', 'Kobe', 'Elena']"
1,1,3-0,"Kobe: No worries, Richard. Catch you later.",Kobe: No worries Richard Catch you later,"['Richard', 'Kobe', 'Elena']"
2,2,3-0,Elena: Bye Richard!,Elena: Bye Richard,"['Richard', 'Kobe', 'Elena']"
3,3,3-0,"Richard: Bye, Kobe and Elena! Enjoy the rest of your conversation.",Richard: Bye Kobe and Elena Enjoy the rest of your conversation,"['Richard', 'Kobe', 'Elena']"
4,4,3-0,"Kobe: Now that it's just us, Elena, what's your biggest parenting challenge so far?",Kobe: Now that its just us Elena whats your biggest parenting challenge so far,"['Kobe', 'Elena']"
5,5,3-0,Elena: I think it's maintaining a balance between wanting to protect and nurture my child but also letting him learn things by himself. You?,Elena: I think its maintaining a balance between wanting to protect and nurture my child but also letting him learn things by himself You,"['Kobe', 'Elena']"
6,6,3-0,"Kobe: Oh, that’s a tough one. For me, it's balancing my career responsibilities with being there for my child. But each challenge just makes the journey more rewarding.",Kobe: Oh thats a tough one For me its balancing my career responsibilities with being there for my child But each challenge just makes the journey more rewarding,"['Kobe', 'Elena']"
7,7,3-0,"Elena: I couldn't agree more, Kobe. At the end of the day, all the struggles and challenges are more than worth it.",Elena: I couldnt agree more Kobe At the end of the day all the struggles and challenges are more than worth it,"['Kobe', 'Elena']"
8,8,3-0,"Kobe: Absolutely, Elena. Despite the ups and downs, I wouldn't trade parenthood for anything.",Kobe: Absolutely Elena Despite the ups and downs I wouldnt trade parenthood for anything,"['Kobe', 'Elena']"
9,9,3-0,"Richard: Hi guys, sorry about the interruption. I hope I didn't miss too much of our chat. You both were talking about balancing challenges last I recall.",Richard: Hi guys sorry about the interruption I hope I didnt miss too much of our chat You both were talking about balancing challenges last I recall,"['Kobe', 'Elena', 'Richard']"
10,10,3-0,"Kobe: Absolutely, Richard! We just kept the conversation going. So, on to emotional connections, I believe the bond I share with my daughter is the most sacred thing. I always ensure she knows that she can come to me with anything, be it a silly question or a fear.",Kobe: Absolutely Richard We just kept the conversation going So on to emotional connections I believe the bond I share with my daughter is the most sacred thing I always ensure she knows that she can come to me with anything be it a silly question or a fear,"['Kobe', 'Elena', 'Richard']"
11,11,3-0,"Elena: That’s so important, Kobe! Likewise, I always try to create a safe space for my son. Empathy, understanding, and open communication are vital for his emotional growth.",Elena: Thats so important Kobe Likewise I always try to create a safe space for my son Empathy understanding and open communication are vital for his emotional growth,"['Kobe', 'Elena', 'Richard']"
12,12,3-0,Richard: Hearing your experiences as parents really gives me insights not only as a future parent but also as a pediatrician. Understanding the parent-child bond helps me find ways to guide parents in fostering strong emotional connections with their children.,Richard: Hearing your experiences as parents really gives me insights not only as a future parent but also as a pediatrician Understanding the parentchild bond helps me find ways to guide parents in fostering strong emotional connections with their children,"['Kobe', 'Elena', 'Richard']"
13,13,3-0,"Kobe: I'm sure your guidance goes a long way, Richard. It's comforting when medical professionals don't just focus on the physical health but also consider the emotional wellbeing.",Kobe: Im sure your guidance goes a long way Richard Its comforting when medical professionals dont just focus on the physical health but also consider the emotional wellbeing,"['Kobe', 'Elena', 'Richard']"
14,14,3-0,"Elena: Definitely, Kobe. Parenting is a challenging yet rewarding journey. And Richard, having a supportive pediatrician like you is invaluable.",Elena: Definitely Kobe Parenting is a challenging yet rewarding journey And Richard having a supportive pediatrician like you is invaluable,"['Kobe', 'Elena', 'Richard']"
15,15,3-0,"Richard: Thank you for your kind words, Elena, and for sharing your experiences, Kobe. This really enriches my perspective. So, should we schedule the next chat? It’s been such an insightful discussion today.",Richard: Thank you for your kind words Elena and for sharing your experiences Kobe This really enriches my perspective So should we schedule the next chat Its been such an insightful discussion today,"['Kobe', 'Elena', 'Richard']"
16,16,3-0,"Kobe: I'd love that. Parenthood is a long journey, after all. There's so much we can keep learning from each other.",Kobe: Id love that Parenthood is a long journey after all Theres so much we can keep learning from each other,"['Kobe', 'Elena', 'Richard']"
17,17,3-0,"Elena: I second that! It's always great exchanging stories, lessons, and laughter with both of you. It’s a date!",Elena: I second that Its always great exchanging stories lessons and laughter with both of you Its a date,"['Kobe', 'Elena', 'Richard']"
18,18,3-1,"Kobe: Well, my five-year-old just started kindergarten. It's been an incredible journey just watching her grow and reach each milestone.",Kobe: Well my fiveyearold just started kindergarten Its been an incredible journey just watching her grow and reach each milestone,"['Richard', 'Kobe', 'Elena']"
19,19,3-1,"Elena: That's lovely. I can totally relate, my seven-year-old started speaking complete sentences at only two years old. You just see them growing so fast!",Elena: Thats lovely I can totally relate my sevenyearold started speaking complete sentences at only two years old You just see them growing so fast,"['Richard', 'Kobe', 'Elena']"
20,20,3-1,"Richard: Yeah, these developmental milestones are truly fascinating. I'm not a parent yet but as a pediatrician, I get to witness them every day with different kids.",Richard: Yeah these developmental milestones are truly fascinating Im not a parent yet but as a pediatrician I get to witness them every day with different kids,"['Richard', 'Kobe', 'Elena']"
21,21,3-1,"Kobe: That's right, Richard, and every kid is different. My daughter started walking by the time she was eleven months. There's no definitive timetable for all these things.",Kobe: Thats right Richard and every kid is different My daughter started walking by the time she was eleven months Theres no definitive timetable for all these things,"['Richard', 'Kobe', 'Elena']"
22,22,3-1,"Elena: Absolutely, Kobe. I think a key point is to not compare your child with others. Every child has its own pace and style of learning.",Elena: Absolutely Kobe I think a key point is to not compare your child with others Every child has its own pace and style of learning,"['Richard', 'Kobe', 'Elena']"
23,23,3-1,"Richard: I totally agree with you both. As a pediatrician, we often remind parents not to compare their child's development with others. The range of what's considered 'normal' is actually quite wide.",Richard: I totally agree with you both As a pediatrician we often remind parents not to compare their childs development with others The range of whats considered normal is actually quite wide,"['Richard', 'Kobe', 'Elena']"
24,24,3-1,"Kobe: That's a good thing to keep in mind. It can be quite easy to fall into the comparison trap. Despite knowing better, I sometimes find myself doing just that.",Kobe: Thats a good thing to keep in mind It can be quite easy to fall into the comparison trap Despite knowing better I sometimes find myself doing just that,"['Richard', 'Kobe', 'Elena']"
25,25,3-1,"Elena: Same here, Kobe. Besides, there's also so much joy in just experiencing the journey and enjoying each precious moment as it comes.",Elena: Same here Kobe Besides theres also so much joy in just experiencing the journey and enjoying each precious moment as it comes,"['Richard', 'Kobe', 'Elena']"
26,26,3-1,"Richard: Very well said, Elena. Embracing the child's unique journey is one of the best gifts a parent can give.",Richard: Very well said Elena Embracing the childs unique journey is one of the best gifts a parent can give,"['Richard', 'Kobe', 'Elena']"
27,27,3-1,"Richard: I'm sorry, I have to cut the conversation short. My delivery is arriving and I need to receive it. We'll continue this chat soon though.",Richard: Im sorry I have to cut the conversation short My delivery is arriving and I need to receive it Well continue this chat soon though,"['Richard', 'Kobe', 'Elena']"
28,28,3-1,"Kobe: No worries, Richard. Catch you later.",Kobe: No worries Richard Catch you later,"['Richard', 'Kobe', 'Elena']"
29,29,3-1,Elena: Bye Richard!,Elena: Bye Richard,"['Richard', 'Kobe', 'Elena']"
30,30,3-1,"Richard: Bye, Kobe and Elena! Enjoy the rest of your conversation.",Richard: Bye Kobe and Elena Enjoy the rest of your conversation,"['Richard', 'Kobe', 'Elena']"
31,31,3-1,"Kobe: Now that it's just us, Elena, what's your biggest parenting challenge so far?",Kobe: Now that its just us Elena whats your biggest parenting challenge so far,"['Kobe', 'Elena']"
32,32,3-1,Elena: I think it's maintaining a balance between wanting to protect and nurture my child but also letting him learn things by himself. You?,Elena: I think its maintaining a balance between wanting to protect and nurture my child but also letting him learn things by himself You,"['Kobe', 'Elena']"
33,33,3-1,"Kobe: Oh, that’s a tough one. For me, it's balancing my career responsibilities with being there for my child. But each challenge just makes the journey more rewarding.",Kobe: Oh thats a tough one For me its balancing my career responsibilities with being there for my child But each challenge just makes the journey more rewarding,"['Kobe', 'Elena']"
34,34,3-1,"Elena: I couldn't agree more, Kobe. At the end of the day, all the struggles and challenges are more than worth it.",Elena: I couldnt agree more Kobe At the end of the day all the struggles and challenges are more than worth it,"['Kobe', 'Elena']"
35,35,3-1,"Kobe: Absolutely, Elena. Despite the ups and downs, I wouldn't trade parenthood for anything.",Kobe: Absolutely Elena Despite the ups and downs I wouldnt trade parenthood for anything,"['Kobe', 'Elena']"
36,36,3-1,"Richard: Hi guys, sorry about the interruption. I hope I didn't miss too much of our chat. You both were talking about balancing challenges last I recall.",Richard: Hi guys sorry about the interruption I hope I didnt miss too much of our chat You both were talking about balancing challenges last I recall,"['Kobe', 'Elena', 'Richard']"
37,37,3-1,"Kobe: Absolutely, Richard! We just kept the conversation going. So, on to emotional connections, I believe the bond I share with my daughter is the most sacred thing. I always ensure she knows that she can come to me with anything, be it a silly question or a fear.",Kobe: Absolutely Richard We just kept the conversation going So on to emotional connections I believe the bond I share with my daughter is the most sacred thing I always ensure she knows that she can come to me with anything be it a silly question or a fear,"['Kobe', 'Elena', 'Richard']"
38,38,3-1,"Elena: That’s so important, Kobe! Likewise, I always try to create a safe space for my son. Empathy, understanding, and open communication are vital for his emotional growth.",Elena: Thats so important Kobe Likewise I always try to create a safe space for my son Empathy understanding and open communication are vital for his emotional growth,"['Kobe', 'Elena', 'Richard']"
39,39,3-1,Richard: Hearing your experiences as parents really gives me insights not only as a future parent but also as a pediatrician. Understanding the parent-child bond helps me find ways to guide parents in fostering strong emotional connections with their children.,Richard: Hearing your experiences as parents really gives me insights not only as a future parent but also as a pediatrician Understanding the parentchild bond helps me find ways to guide parents in fostering strong emotional connections with their children,"['Kobe', 'Elena', 'Richard']"
40,40,3-1,"Kobe: I'm sure your guidance goes a long way, Richard. It's comforting when medical professionals don't just focus on the physical health but also consider the emotional wellbeing.",Kobe: Im sure your guidance goes a long way Richard Its comforting when medical professionals dont just focus on the physical health but also consider the emotional wellbeing,"['Kobe', 'Elena', 'Richard']"
41,41,3-1,"Elena: Definitely, Kobe. Parenting is a challenging yet rewarding journey. And Richard, having a supportive pediatrician like you is invaluable.",Elena: Definitely Kobe Parenting is a challenging yet rewarding journey And Richard having a supportive pediatrician like you is invaluable,"['Kobe', 'Elena', 'Richard']"
42,42,3-1,"Richard: Thank you for your kind words, Elena, and for sharing your experiences, Kobe. This really enriches my perspective. So, should we schedule the next chat? It’s been such an insightful discussion today.",Richard: Thank you for your kind words Elena and for sharing your experiences Kobe This really enriches my perspective So should we schedule the next chat Its been such an insightful discussion today,"['Kobe', 'Elena', 'Richard']"
43,43,3-1,"Kobe: I'd love that. Parenthood is a long journey, after all. There's so much we can keep learning from each other.",Kobe: Id love that Parenthood is a long journey after all Theres so much we can keep learning from each other,"['Kobe', 'Elena', 'Richard']"
44,44,3-1,"Elena: I second that! It's always great exchanging stories, lessons, and laughter with both of you. It’s a date!",Elena: I second that Its always great exchanging stories lessons and laughter with both of you Its a date,"['Kobe', 'Elena', 'Richard']"
45,45,3-1,"Silas: Hello everyone, sorry for jumping in late. What's the topic?",Silas: Hello everyone sorry for jumping in late Whats the topic,"['Kobe', 'Elena', 'Richard', 'Silas']"
46,46,3-1,"Kobe: No worries, Silas. We were just sharing our experiences about parenting.",Kobe: No worries Silas We were just sharing our experiences about parenting,"['Kobe', 'Elena', 'Richard', 'Silas']"
47,47,3-1,"Silas: Oh, that sounds interesting! In that case, can I start by sharing a memorable story about my son?",Silas: Oh that sounds interesting In that case can I start by sharing a memorable story about my son,"['Kobe', 'Elena', 'Richard', 'Silas']"
